city_code,date,aqi,co,no2,o3,pm10,pm25,qlty,so2,cond_txt,fl,hum,pcpn,pres,tmp,vis,wind_dir,wind_sc,wind_spd,sug_comf_brf,sug_cw_brf,sug_drsg_brf,sug_flu_brf,sug_sport_brf,sug_trav_brf,sug_uv_brf
CN101140209,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,14,28,0,1007,20,10,南风,5-6,30,舒适,较适宜,较舒适,较易发,较适宜,适宜,中等
CN101140210,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,14,32,0,1007,22,10,东南风,6-7,38,舒适,较适宜,较舒适,较易发,较适宜,适宜,弱
CN101140211,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,27,25,0,1011,19,5,东南风,5-6,33,舒适,较适宜,较冷,易发,较适宜,适宜,弱
CN101140212,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,17,10,0,1007,22,10,东北风,4-5,24,舒适,较适宜,较舒适,易发,较适宜,适宜,弱
CN101140213,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,18,22,0,1007,19,10,东北风,6-7,37,舒适,较适宜,较舒适,易发,较适宜,适宜,弱
CN101140214,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,22,29,0,1007,21,10,南风,4-5,21,较舒适,较适宜,较舒适,易发,较适宜,适宜,中等
CN101140216,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,15,17,0,1007,18,10,西北风,6-7,36,舒适,较适宜,较舒适,易发,较适宜,适宜,中等
CN101140217,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,17,32,0,1007,20,10,西南风,4-5,18,较舒适,较适宜,较舒适,较易发,较适宜,适宜,中等
CN101140218,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,20,68,0,1016,12,10,南风,6-7,36,舒适,不宜,较冷,较易发,较不宜,适宜,最弱
CN101140219,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,16,47,0,1007,16,10,东风,4-5,19,舒适,较适宜,较舒适,易发,较适宜,适宜,中等
CN101140220,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,17,30,0,1007,19,10,东风,3-4,16,舒适,较适宜,较舒适,易发,较适宜,适宜,弱
CN101140301,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,23,64,0.2,1007,15,10,南风,4-5,24,舒适,较适宜,舒适,较易发,较适宜,适宜,中等
CN101140302,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,20,45,0,1007,19,10,东风,5-6,28,较舒适,较适宜,舒适,较易发,较适宜,适宜,中等
CN101140303,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,23,38,0,1007,19,10,西南风,微风,5,较舒适,较适宜,舒适,较易发,较适宜,适宜,中等
CN101140304,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阴,23,32,0,1007,25,10,西北风,5-6,32,较舒适,较适宜,舒适,较易发,较适宜,适宜,最弱
CN101140305,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,16,33,0,1007,15,10,西北风,3-4,14,舒适,较适宜,较冷,易发,较适宜,适宜,中等
CN101140306,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,20,63,0,1005,11,9,东南风,5-6,32,舒适,不宜,较冷,较易发,较不宜,适宜,弱
CN101140307,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,17,64,2.9,1007,15,10,北风,5-6,33,舒适,不宜,较舒适,较易发,较适宜,适宜,弱
CN101140308,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,23,64,0.2,1007,15,10,南风,4-5,22,舒适,较适宜,舒适,较易发,较适宜,适宜,中等
CN101140309,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,23,64,0.2,1007,15,10,南风,4-5,21,舒适,较适宜,舒适,较易发,较适宜,适宜,中等
CN101140310,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,23,45,0,1007,17,10,西风,5-6,33,舒适,较适宜,较舒适,易发,较适宜,适宜,中等
CN101140311,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,25,41,0,1016,18,10,东风,6-7,36,舒适,较适宜,较舒适,易发,较适宜,适宜,中等
CN101140312,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,23,39,0,999,18,3,南风,4-5,22,舒适,不宜,较舒适,较易发,较适宜,适宜,弱
CN101140313,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,23,44,0,1007,19,10,北风,5-6,32,舒适,较适宜,较舒适,较易发,较适宜,适宜,中等
CN101140314,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,阵雨,23,42,0,1007,17,10,东北风,6-7,36,舒适,较适宜,较舒适,较易发,较适宜,适宜,最弱
CN101140401,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,19,46,0,1007,23,10,西南风,3-4,12,较舒适,不宜,舒适,较易发,较适宜,适宜,中等
CN101140402,2016-07-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,多云,26,30,0,1007,28,10,西北风,5-6,28,较舒适,不宜,较舒适,较易发,较适宜,适宜,中等
