city_code,date,aqi,co,no2,o3,pm10,pm25,qlty,so2,cond_txt,fl,hum,pcpn,pres,tmp,vis,wind_dir,wind_sc,wind_spd,sug_comf_brf,sug_cw_brf,sug_drsg_brf,sug_flu_brf,sug_sport_brf,sug_trav_brf,sug_uv_brf
CN101010600,2016-07-15,54,,,,53,54,良,,阴,25,83,0,1004,21,10,东北风,4-5,20,较舒适,不宜,舒适,较易发,较不宜,适宜,弱
CN101010700,2016-07-15,54,,,,53,54,良,,多云,25,80,0,1004,21,10,东南风,4-5,23,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101010800,2016-07-15,54,,,,53,54,良,,阵雨,25,83,0,1004,19,10,东风,4-5,17,较舒适,不宜,舒适,少发,较不宜,适宜,弱
CN101010900,2016-07-15,54,,,,53,54,良,,阵雨,25,73,0,1004,24,10,东风,4-5,21,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101011000,2016-07-15,54,,,,53,54,良,,阵雨,25,86,0.6,1004,21,10,北风,4-5,18,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101011100,2016-07-15,54,,,,53,54,良,,阵雨,25,76,0,1004,22,10,东风,5-6,28,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101011200,2016-07-15,54,,,,53,54,良,,阵雨,27,72,0,999,23,7,东风,4-5,17,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101011300,2016-07-15,54,,,,53,54,良,,阵雨,25,81,0,1004,21,10,西北风,4-5,19,较舒适,不宜,舒适,较易发,较不宜,适宜,弱
CN101011400,2016-07-15,54,,,,53,54,良,,阵雨,25,78,0,1004,22,10,西北风,3-4,15,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101011500,2016-07-15,54,,,,53,54,良,,多云,30,81,0,1003,22,9,北风,3-4,16,较舒适,不宜,舒适,较易发,较不宜,适宜,弱
CN101020100,2016-07-15,103,1,22,204,83,61,轻度污染,10,阵雨,42,58,0,998,35,10,东风,3-4,15,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020200,2016-07-15,103,,,,83,61,轻度污染,,阵雨,40,63,0,998,35,10,南风,4-5,19,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020300,2016-07-15,103,,,,83,61,轻度污染,,阵雨,40,54,0,998,35,10,西南风,5-6,30,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020500,2016-07-15,103,,,,83,61,轻度污染,,阵雨,39,60,0,998,34,10,西南风,4-5,19,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020600,2016-07-15,103,,,,83,61,轻度污染,,阵雨,41,61,0,998,35,10,西南风,4-5,21,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020700,2016-07-15,103,,,,83,61,轻度污染,,阵雨,40,62,0,998,34,10,西南风,5-6,32,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020800,2016-07-15,103,,,,83,61,轻度污染,,阵雨,41,57,0,998,35,10,西南风,4-5,24,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020900,2016-07-15,103,,,,83,61,轻度污染,,阵雨,42,56,0,998,35,10,西风,4-5,17,很不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101021000,2016-07-15,103,,,,83,61,轻度污染,,阵雨,40,65,0,998,34,10,西南风,5-6,29,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101021100,2016-07-15,103,,,,83,61,轻度污染,,阵雨,39,66,0,998,33,10,西南风,5-6,31,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101021200,2016-07-15,103,,,,83,61,轻度污染,,阵雨,40,58,0,998,35,10,东风,3-4,10,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101030100,2016-07-15,58,1,24,84,41,40,良,5,阵雨,25,71,0,1003,24,7,东北风,3-4,11,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101030200,2016-07-15,58,,,,41,40,良,,阵雨,25,78,0,1003,22,7,西北风,3-4,12,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101030300,2016-07-15,58,,,,41,40,良,,多云,25,90,0.1,1003,21,7,西北风,4-5,20,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101030400,2016-07-15,58,,,,41,40,良,,阵雨,25,76,0,1003,23,7,北风,3-4,14,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101030500,2016-07-15,58,,,,41,40,良,,阵雨,25,77,0,1003,23,7,北风,4-5,23,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101030600,2016-07-15,58,,,,41,40,良,,阵雨,25,83,0,1003,22,7,北风,3-4,12,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101030700,2016-07-15,58,,,,41,40,良,,阵雨,25,79,0,1003,23,7,北风,4-5,17,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101030800,2016-07-15,58,,,,41,40,良,,晴,20,20,0,1003,13,7,西风,4-5,23,暂缺,,暂缺,暂缺,较不宜,暂缺,暂缺
CN101030900,2016-07-15,58,,,,41,40,良,,阵雨,25,78,0,1003,24,7,东北风,4-5,21,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101031000,2016-07-15,58,,,,41,40,良,,阵雨,25,70,0,1003,24,7,东北风,4-5,21,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101031100,2016-07-15,58,,,,41,40,良,,阵雨,25,72,0,1003,24,7,北风,4-5,22,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101031200,2016-07-15,58,,,,41,40,良,,晴,19,20,0,1003,13,7,西风,4-5,22,暂缺,,暂缺,暂缺,较不宜,暂缺,暂缺
CN101031400,2016-07-15,58,,,,41,40,良,,多云,25,77,0,1004,24,10,西北风,4-5,24,较舒适,不宜,热,较易发,较不宜,适宜,弱
CN101040100,2016-07-15,39,1,23,134,38,18,优,9,多云,31,51,0,1005,31,10,东南风,4-5,20,较不舒适,较适宜,热,少发,较适宜,适宜,中等
CN101040200,2016-07-15,39,,,,38,18,优,,多云,31,56,0,1005,29,10,西南风,4-5,18,较舒适,较适宜,热,少发,较适宜,适宜,中等
CN101040300,2016-07-15,39,,,,38,18,优,,多云,31,57,0,1005,30,10,东北风,3-4,14,较不舒适,较适宜,热,少发,较适宜,适宜,中等
CN101040400,2016-07-15,39,,,,38,18,优,,多云,36,55,0,1003,28,10,东风,4-5,17,较不舒适,较适宜,炎热,少发,较适宜,适宜,中等
CN101040500,2016-07-15,39,,,,38,18,优,,多云,31,57,0,1005,30,10,南风,3-4,12,较不舒适,较适宜,炎热,少发,较适宜,适宜,中等
CN101040600,2016-07-15,39,,,,38,18,优,,多云,32,56,0,1003,27,10,西北风,4-5,20,较不舒适,不宜,热,少发,较适宜,适宜,中等
CN101040700,2016-07-15,39,,,,38,18,优,,多云,31,56,0,1005,28,10,东北风,4-5,23,较舒适,较适宜,热,少发,较适宜,适宜,中等
CN101040800,2016-07-15,39,,,,38,18,优,,多云,31,54,0,1005,31,10,南风,4-5,17,较不舒适,较适宜,热,少发,较适宜,适宜,中等
CN101040900,2016-07-15,39,,,,38,18,优,,多云,31,57,0,1005,28,10,南风,4-5,24,较舒适,较适宜,热,少发,较适宜,适宜,弱
CN101041000,2016-07-15,39,,,,38,18,优,,多云,31,50,0,1005,30,10,北风,3-4,10,较不舒适,较适宜,热,少发,较适宜,适宜,中等
CN101041100,2016-07-15,39,,,,38,18,优,,多云,33,56,0,1003,27,9,西南风,3-4,11,较不舒适,不宜,热,少发,较适宜,适宜,中等
CN101041300,2016-07-15,39,,,,38,18,优,,阴,37,59,0,1003,29,10,东南风,4-5,21,较舒适,不宜,热,少发,较适宜,适宜,弱
CN101041400,2016-07-15,39,,,,38,18,优,,多云,31,49,0,1005,29,10,东北风,4-5,20,较不舒适,较适宜,热,少发,较适宜,适宜,中等
CN101041500,2016-07-15,39,,,,38,18,优,,阴,38,54,0,1004,30,10,北风,4-5,23,较不舒适,不宜,炎热,少发,较适宜,适宜,弱
CN101041600,2016-07-15,39,,,,38,18,优,,多云,30,49,0,1003,29,10,西风,3-4,10,较不舒适,不宜,炎热,少发,较适宜,适宜,中等
CN101041700,2016-07-15,39,,,,38,18,优,,阴,37,61,0,1003,29,10,东北风,3-4,11,较舒适,不宜,热,少发,较适宜,适宜,弱
CN101041800,2016-07-15,39,,,,38,18,优,,阴,37,56,0,1003,31,10,南风,4-5,22,较不舒适,不宜,热,少发,较适宜,适宜,弱
CN101041900,2016-07-15,39,,,,38,18,优,,阴,32,69,0,1003,27,10,西南风,4-5,20,较不舒适,不宜,炎热,少发,较适宜,适宜,弱
CN101042000,2016-07-15,39,,,,38,18,优,,阴,35,58,0,1003,29,10,西风,5-6,27,较不舒适,不宜,热,少发,较适宜,适宜,弱
CN101042100,2016-07-15,39,,,,38,18,优,,多云,31,55,0,1005,30,10,南风,4-5,22,较不舒适,较适宜,炎热,少发,较适宜,较适宜,中等
CN101042200,2016-07-15,39,,,,38,18,优,,多云,38,56,0,1003,29,10,南风,4-5,19,较舒适,较适宜,热,少发,较适宜,适宜,中等
CN101042300,2016-07-15,39,,,,38,18,优,,多云,38,53,0,1003,30,10,西北风,4-5,20,较舒适,不宜,热,少发,较适宜,适宜,中等
CN101042400,2016-07-15,39,,,,38,18,优,,多云,38,54,0,1003,30,10,西南风,4-5,18,较不舒适,较适宜,热,少发,较适宜,适宜,中等
CN101042500,2016-07-15,39,,,,38,18,优,,阴,33,63,0,1003,26,10,西北风,3-4,10,较舒适,不宜,热,少发,较适宜,适宜,弱
CN101042600,2016-07-15,39,,,,38,18,优,,多云,31,55,0,1005,30,10,南风,4-5,21,较不舒适,较适宜,热,少发,较适宜,适宜,中等
CN101042700,2016-07-15,39,,,,38,18,优,,晴,39,52,0,1002,30,10,东南风,4-5,17,较不舒适,较适宜,热,少发,较适宜,适宜,很强
CN101042800,2016-07-15,39,,,,38,18,优,,多云,31,55,0,1005,30,10,东南风,5-6,33,较舒适,较适宜,热,少发,较适宜,适宜,中等
CN101042900,2016-07-15,39,,,,38,18,优,,多云,31,54,0,1005,31,10,西北风,3-4,14,较不舒适,较适宜,热,少发,较适宜,适宜,中等
CN101043000,2016-07-15,39,,,,38,18,优,,多云,35,51,0,1003,30,10,东南风,4-5,20,较舒适,不宜,热,少发,较适宜,适宜,中等
CN101043100,2016-07-15,39,,,,38,18,优,,多云,31,52,0,1005,30,10,西北风,4-5,17,较不舒适,不宜,炎热,少发,较适宜,较适宜,中等
CN101043200,2016-07-15,39,,,,38,18,优,,多云,36,52,0,1004,30,10,西风,3-4,12,很不舒适,不宜,炎热,少发,较适宜,较适宜,中等
CN101043300,2016-07-15,39,,,,38,18,优,,多云,32,65,0,1003,27,10,东北风,4-5,21,较舒适,较适宜,热,少发,较适宜,适宜,中等
CN101043400,2016-07-15,39,,,,38,18,优,,多云,33,67,0,1004,26,10,西风,3-4,13,较舒适,不宜,热,少发,较适宜,适宜,弱
CN101043600,2016-07-15,39,,,,38,18,优,,多云,33,56,0,1004,29,10,西北风,6-7,39,较不舒适,较适宜,热,少发,较适宜,适宜,弱
CN101320101,2016-07-15,,,,,,,,,多云,35,63,0.0,1006,33,7,西南风,7-8,50,很不舒适,较适宜,炎热,少发,较适宜,较适宜,中等
CN101320102,2016-07-15,,,,,,,,,多云,35,84,0.0,1006,31,7,南风,6-7,37,很不舒适,较适宜,炎热,少发,较适宜,较适宜,中等
CN101320103,2016-07-15,,,,,,,,,多云,35,84,0.0,1006,31,7,南风,6-7,37,很不舒适,较适宜,炎热,少发,较适宜,较适宜,中等
CN101330101,2016-07-15,,,,,,,,,多云,38,79,0.0,1006,31,10,南风,5-6,27,很不舒适,较适宜,炎热,少发,较适宜,较适宜,中等
CN101330102,2016-07-15,,,,,,,,,多云,37,79,0.0,1006,31,10,南风,5-6,25,很不舒适,较适宜,炎热,少发,较适宜,较适宜,中等
CN101330103,2016-07-15,,,,,,,,,多云,36,79,0.0,1006,31,10,南风,5-6,30,很不舒适,较适宜,炎热,少发,较适宜,较适宜,中等
CN101340101,2016-07-15,,,,,,,,,多云,42,49,0.0,1004,35,10,西风,6-7,38,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101340102,2016-07-15,,,,,,,,,多云,42,56,0.0,1005,34,10,西风,8-9,61,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101340103,2016-07-15,,,,,,,,,多云,42,61,0.0,1005,33,10,西南风,7-8,47,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101340104,2016-07-15,,,,,,,,,雷阵雨,42,60,0.0,1004,33,10,东风,6-7,35,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101340201,2016-07-15,,,,,,,,,多云,40,75,0.0,1008,32,10,西风,6-7,40,较不舒适,不宜,热,少发,较不宜,一般,弱
CN101340202,2016-07-15,,,,,,,,,雷阵雨,41,66,0.25,1008,33,10,南风,5-6,27,较不舒适,不宜,热,少发,较不宜,一般,弱
CN101340203,2016-07-15,,,,,,,,,多云,38,70,0.0,1008,32,10,西南风,5-6,32,较不舒适,不宜,热,少发,较不宜,一般,弱
CN101340204,2016-07-15,,,,,,,,,多云,37,70,0.0,1008,32,10,东北风,5-6,26,较不舒适,不宜,热,少发,较不宜,一般,弱
CN101340205,2016-07-15,,,,,,,,,多云,40,75,0.0,1008,32,10,西风,6-7,40,较不舒适,不宜,热,少发,较不宜,一般,弱
CN101340401,2016-07-15,,,,,,,,,多云,41,63,0.0,1008,33,10,西风,7-8,46,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101340402,2016-07-15,,,,,,,,,多云,42,63,0.0,1005,33,10,南风,7-8,45,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101340403,2016-07-15,,,,,,,,,多云,41,63,0.0,1008,33,10,西风,7-8,53,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101340404,2016-07-15,,,,,,,,,雷阵雨,42,64,0.25,1007,33,10,南风,6-7,40,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101340405,2016-07-15,,,,,,,,,多云,40,59,0.0,1006,33,10,西风,6-7,39,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101340406,2016-07-15,,,,,,,,,雷阵雨,41,69,0.25,1008,33,10,南风,6-7,38,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101050101,2016-07-15,28,1,18,89,27,13,优,7,多云,28,48,0,1006,27,10,东风,4-5,21,较舒适,较适宜,舒适,少发,较适宜,适宜,弱
CN101050102,2016-07-15,28,,,,27,13,优,,多云,28,46,0,1006,26,10,东北风,4-5,19,较舒适,较适宜,舒适,少发,较适宜,适宜,弱
CN101050103,2016-07-15,28,,,,27,13,优,,多云,28,49,0,1006,27,10,东南风,4-5,23,较舒适,较适宜,舒适,少发,较适宜,适宜,弱
CN101050104,2016-07-15,28,,,,27,13,优,,多云,28,38,0,1006,27,10,东北风,4-5,18,较舒适,较适宜,舒适,少发,较适宜,适宜,弱
CN101050105,2016-07-15,28,,,,27,13,优,,多云,28,45,0,1006,26,10,东北风,4-5,18,较舒适,较适宜,舒适,少发,较适宜,适宜,弱
CN101050106,2016-07-15,28,,,,27,13,优,,多云,30,51,0,1006,26,10,东风,5-6,33,舒适,较适宜,舒适,较易发,较适宜,适宜,弱
CN101050107,2016-07-15,28,,,,27,13,优,,多云,32,51,0,1005,26,10,西南风,5-6,26,较舒适,较适宜,舒适,少发,较适宜,适宜,弱
CN101050108,2016-07-15,28,,,,27,13,优,,多云,31,58,0,1006,25,10,东风,5-6,26,较舒适,较适宜,舒适,少发,较适宜,适宜,弱
CN101050109,2016-07-15,28,,,,27,13,优,,多云,31,59,0,1006,26,10,东北风,4-5,22,较舒适,较适宜,舒适,少发,较适宜,适宜,弱
CN101050110,2016-07-15,28,,,,27,13,优,,多云,31,50,0,1005,26,10,东北风,4-5,20,较舒适,较适宜,舒适,少发,较适宜,适宜,弱
CN101090709,2016-07-15,48,,,,41,33,优,,阵雨,25,58,0,1003,26,7,东南风,4-5,19,较不舒适,不宜,热,少发,较不宜,适宜,弱
CN101090710,2016-07-15,48,,,,41,33,优,,多云,25,83,0,1003,23,7,北风,4-5,23,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101090711,2016-07-15,48,,,,41,33,优,,多云,31,69,0,1002,24,10,东北风,4-5,24,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101090712,2016-07-15,48,,,,41,33,优,,多云,25,48,0,1003,27,7,东风,4-5,23,较不舒适,不宜,热,少发,较不宜,适宜,弱
CN101090713,2016-07-15,48,,,,41,33,优,,多云,25,74,0,1003,23,7,东北风,5-6,25,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101090714,2016-07-15,48,,,,41,33,优,,阵雨,25,56,0,1003,26,7,东南风,4-5,21,较不舒适,不宜,热,少发,较不宜,适宜,弱
CN101090716,2016-07-15,48,,,,41,33,优,,阵雨,25,73,0,1003,24,7,北风,4-5,19,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101090801,2016-07-15,56,1,17,123,49,39,优,19,多云,32,68,0,1003,24,10,东风,3-4,12,较舒适,较适宜,热,少发,较适宜,适宜,弱
CN101090802,2016-07-15,56,,,,49,39,良,,多云,30,69,0,1003,23,10,东风,4-5,21,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101090803,2016-07-15,56,,,,49,39,良,,多云,32,59,0,1003,24,10,东风,4-5,19,较舒适,较适宜,热,少发,较适宜,适宜,弱
CN101090804,2016-07-15,56,,,,49,39,良,,多云,34,54,0,1003,25,10,东风,3-4,15,较舒适,较适宜,热,少发,较适宜,适宜,弱
CN101090805,2016-07-15,56,,,,49,39,良,,多云,25,57,0,1003,26,7,东南风,3-4,16,较舒适,较适宜,热,少发,较适宜,适宜,弱
CN101090806,2016-07-15,56,,,,49,39,良,,多云,25,52,0,1003,26,7,南风,4-5,17,较舒适,不宜,热,少发,较适宜,适宜,弱
CN101090807,2016-07-15,56,,,,49,39,良,,多云,27,82,0,1003,22,10,东风,3-4,15,较舒适,不宜,舒适,少发,较不宜,适宜,弱
CN101090808,2016-07-15,56,,,,49,39,良,,多云,31,67,0,1002,24,10,东风,4-5,18,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101090809,2016-07-15,56,,,,49,39,良,,多云,31,61,0,1002,24,10,东南风,3-4,14,较舒适,较适宜,热,少发,较适宜,适宜,弱
CN101090810,2016-07-15,56,,,,49,39,良,,多云,32,74,0,1003,23,10,东风,4-5,18,较舒适,较适宜,热,少发,较适宜,适宜,弱
CN101090811,2016-07-15,56,,,,49,39,良,,多云,31,59,0,1003,25,10,西风,3-4,13,较舒适,不宜,热,少发,较适宜,适宜,弱
CN101090901,2016-07-15,57,,,,62,39,良,,阴,30,76,0,1003,23,10,东风,4-5,23,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090902,2016-07-15,57,,,,62,39,良,,阴,26,70,0,1003,24,10,东北风,4-5,22,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090904,2016-07-15,57,,,,62,39,良,,阴,30,73,0,1003,23,10,北风,4-5,18,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090905,2016-07-15,57,,,,62,39,良,,阴,26,75,0,1003,23,10,东风,4-5,21,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090906,2016-07-15,57,,,,62,39,良,,阴,26,75,0,1003,23,10,东北风,4-5,22,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090907,2016-07-15,57,,,,62,39,良,,阴,30,76,0,1003,23,10,北风,4-5,17,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090908,2016-07-15,57,,,,62,39,良,,阴,26,75,0,1003,22,10,东北风,4-5,21,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090909,2016-07-15,57,,,,62,39,良,,阴,32,71,0,1003,24,10,北风,4-5,22,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090910,2016-07-15,57,,,,62,39,良,,阴,32,74,0,1003,23,10,东北风,4-5,20,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090911,2016-07-15,57,,,,62,39,良,,阴,32,78,0,1003,23,10,北风,4-5,19,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090912,2016-07-15,57,,,,62,39,良,,阴,32,76,0,1003,23,10,北风,4-5,23,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090913,2016-07-15,57,,,,62,39,良,,阴,30,80,0,1003,23,10,东北风,4-5,21,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090914,2016-07-15,57,,,,62,39,良,,阴,32,75,0,1003,24,10,东北风,4-5,20,舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090915,2016-07-15,57,,,,62,39,良,,阴,30,83,0,1003,23,10,北风,4-5,23,舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090916,2016-07-15,57,,,,62,39,良,,阴,32,74,0,1003,24,10,东北风,3-4,16,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090917,2016-07-15,57,,,,62,39,良,,阴,30,72,0,1003,24,10,北风,4-5,20,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101090918,2016-07-15,57,,,,62,39,良,,阴,30,73,0,1003,24,10,东北风,3-4,14,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101091001,2016-07-15,44,1,21,99,43,28,优,12,多云,29,78,0,1003,23,10,东北风,3-4,14,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101091002,2016-07-15,44,,,,43,28,优,,多云,28,78,0,1003,22,10,东风,3-4,13,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101091003,2016-07-15,44,,,,43,28,优,,多云,27,75,0,1003,23,10,北风,3-4,10,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101091004,2016-07-15,44,,,,43,28,优,,阴,27,78,0,1003,23,10,北风,4-5,20,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101091005,2016-07-15,44,,,,43,28,优,,阴,30,80,0,1003,23,10,北风,5-6,29,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101091006,2016-07-15,44,,,,43,28,优,,多云,30,73,0,1002,22,10,东风,3-4,12,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101091007,2016-07-15,44,,,,43,28,优,,多云,27,79,0,1003,22,10,北风,3-4,12,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101091008,2016-07-15,44,,,,43,28,优,,阴,29,78,0,1003,23,10,北风,4-5,19,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101091009,2016-07-15,44,,,,43,28,优,,多云,29,76,0,1003,23,10,东风,3-4,11,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101091010,2016-07-15,44,,,,43,28,优,,阴,30,81,0,1003,23,10,北风,4-5,18,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101091011,2016-07-15,44,,,,43,28,优,,阴,30,77,0,1003,23,10,东北风,3-4,12,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101091012,2016-07-15,44,,,,43,28,优,,阴,30,77,0,1003,23,10,东北风,4-5,17,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101091013,2016-07-15,44,,,,43,28,优,,阴,30,82,0,1003,23,10,东北风,4-5,20,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101091014,2016-07-15,44,,,,43,28,优,,阴,27,78,0,1003,23,10,东北风,4-5,18,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101091015,2016-07-15,44,,,,43,28,优,,阴,29,75,0,1003,24,10,北风,3-4,12,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101091016,2016-07-15,44,,,,43,28,优,,多云,28,80,0,1003,21,10,东南风,4-5,17,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101091101,2016-07-15,37,0,17,98,25,6,优,9,阴,29,61,0,1003,24,10,东风,4-5,23,较舒适,较适宜,舒适,少发,较适宜,适宜,最弱
CN101091102,2016-07-15,37,,,,25,6,优,,阴,29,35,0,1003,24,10,东北风,4-5,20,较舒适,较适宜,热,少发,较适宜,适宜,弱
CN101091103,2016-07-15,37,,,,25,6,优,,阴,30,55,0,1003,24,10,东风,5-6,26,较舒适,较适宜,舒适,少发,较适宜,适宜,最弱
CN101091104,2016-07-15,37,,,,25,6,优,,阴,30,52,0,1003,25,10,东南风,5-6,33,较舒适,较适宜,热,少发,较适宜,适宜,弱
CN101091105,2016-07-15,37,,,,25,6,优,,阴,30,40,0,1003,26,10,东风,4-5,17,较舒适,较适宜,热,少发,较适宜,适宜,弱
CN101091106,2016-07-15,37,,,,25,6,优,,阴,30,61,0,1003,24,10,东风,4-5,17,较舒适,较适宜,舒适,少发,较适宜,适宜,最弱
CN101180101,2016-07-15,43,1,19,113,32,19,优,10,多云,25,80,0,1004,24,8,东风,4-5,20,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101180102,2016-07-15,43,,,,32,19,优,,阴,32,68,0,1002,25,10,东风,4-5,20,较舒适,较适宜,热,少发,较适宜,适宜,弱
CN101180103,2016-07-15,43,,,,32,19,优,,多云,25,74,0,1004,24,8,东南风,4-5,17,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101180104,2016-07-15,43,,,,32,19,优,,多云,25,81,0,1004,22,8,东南风,4-5,23,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101180105,2016-07-15,43,,,,32,19,优,,多云,25,80,0,1004,22,8,东风,3-4,13,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101180106,2016-07-15,43,,,,32,19,优,,多云,25,81,0,1004,22,8,北风,4-5,22,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101180107,2016-07-15,43,,,,32,19,优,,多云,25,79,0,1004,22,8,西北风,3-4,14,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101180108,2016-07-15,43,,,,32,19,优,,多云,29,74,0,1002,24,10,东南风,4-5,19,较舒适,不宜,舒适,少发,较适宜,适宜,弱
CN101180201,2016-07-15,43,,,,36,30,优,,阴,27,84,0,1003,21,10,东北风,4-5,24,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101180202,2016-07-15,43,,,,36,30,优,,多云,27,82,0,1003,22,10,北风,5-6,28,较舒适,不宜,舒适,少发,较不宜,适宜,最弱
CN101180203,2016-07-15,43,,,,36,30,优,,多云,25,85,0,1004,21,8,东北风,5-6,25,舒适,不宜,舒适,少发,较不宜,适宜,最弱
CN101180204,2016-07-15,43,,,,36,30,优,,多云,30,81,0,1003,22,2,北风,4-5,17,舒适,不宜,舒适,少发,较不宜,适宜,最弱
CN101180205,2016-07-15,43,,,,36,30,优,,阴,30,81,0,1002,21,10,东风,4-5,21,较舒适,不宜,舒适,少发,较适宜,适宜,最弱
CN101180301,2016-07-15,,,,,,,,,多云,25,72,0,1004,24,8,东北风,5-6,29,较不舒适,较适宜,热,少发,较适宜,适宜,中等
CN101180302,2016-07-15,,,,,,,,,多云,25,72,0,1004,24,8,东风,4-5,22,较不舒适,较适宜,热,少发,较适宜,适宜,中等
CN101180303,2016-07-15,,,,,,,,,多云,25,82,0,1004,23,8,东北风,5-6,28,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101180304,2016-07-15,,,,,,,,,多云,25,74,0,1004,24,8,东风,4-5,19,较舒适,较适宜,热,少发,较适宜,适宜,中等
CN101180305,2016-07-15,,,,,,,,,多云,25,76,0,1004,23,8,东北风,5-6,29,较舒适,较适宜,热,少发,较适宜,适宜,中等
CN101180306,2016-07-15,,,,,,,,,多云,25,82,0,1004,22,8,东北风,4-5,17,较舒适,不宜,舒适,少发,较不宜,适宜,最弱
